科室列表	dataq/api/page/getSendDeptList
获取药品信息	api/yf/preparationTableDistribution/getDrugInformation
取消操作	api/work/cancel
获取已分发药品信息	dataq/api/page/getMixDistributedDrugInformation
进度条	api/work/schedule
查看详情	api/work/info
获取配制台信息	dataq/api/page/getMixingTableInformation
删除接口	api/work/del
冲销	api/yf/outErrCorrect/writeOff
打印	print/api/query/printYpCkdForCKCWGZ
新增配制台分发记录	api/yf/preparationTableDistribution/addMixingTableInformation
删除配制台分发记录	api/yf/preparationTableDistribution/deleteMixingTableInformation
入库单查询	dataq/api/page/listRkdForRKCX
入库单明细查询	dataq/api/page/listRkdmxForRKCX
转出库单	api/yf/enterWareQuery/transOutWareOrder
打印	api/yf/enterWareQuery/print
合并打印	api/yf/enterWareQuery/mergePrint
查询出库单明细	dataq/api/page/listJcdmxForKSJYSR
查询寄存单明细之前校验、检查	api/yf/deptDeposMedi/checkBeforeJcdmxQuery
删除	api/yf/deptDeposMedi/del
获取寄存明细信息(在药品名称字典退出时候)	api/yf/deptDeposMedi/getJcdmxByYpmczdExit
保存	api/yf/deptDeposMedi/save
寄存部门字典列表	dataq/api/page/listYFGHBMDict
寄存人员字典列表	dataq/api/page/listYFJcryDict
寄存单“数量”发生变化，获取相关金额信息	api/yf/deptDeposMedi/getJcdmxByJCSL00Chg
打印换卡、补卡凭证-改造	api/medicalCard/printMZSF_DJ_M
寄存单查询	dataq/api/page/listJcdForKSJY
寄存单明细查询	dataq/api/page/listJcdmxForKSJYQR
确认	api/yf/deptDeposMediCfm/confirm
打印寄药单	print/api/query/printKSJYD
代煎操作—查询代煎记录（左上表格）	dataq/api/page/listYfDJJLForZYDJDJ
获取操作类型（在查询表格数据之前）	api/yf/regMedicDecoct/getCZLX
代煎操作—查询代煎信息记录（右侧上方表格）	dataq/api/page/listYfDJJLMXForZYDJDJ
查询代煎处方明细记录（代煎操作左下、右下，代煎单查询-“显示处方”	dataq/api/page/listYfDJCFMXForZYDJDJ
代煎单查询—查询代煎单	dataq/api/page/listYfDJDForZYDJDJCX
代煎单查询—病区字典	dataq/api/page/listBqzdForZYDJDJCX
药品分发的科室添加及删除	api/yk/CatalogMaintenanceService/updateDrugDistribution
科室专用的拥有该药的科室添加及删除	api/yk/CatalogMaintenanceService/updateDepartmentSpecific
代煎操作—“条码”回车事件	api/yf/regMedicDecoct/edtLocTXMKeyPress
代煎操作-员工字典	dataq/api/page/listYGZDForZYDJDJCZ
代煎单查询-“条码”回车事件	api/yf/regMedicDecoct/edtLocTXMCXKeyPress
代煎操作	api/yf/regMedicDecoct/decoctOper
住院清单汇总打印	api/query/printZYSF_ZYQDHZDY
送药登记	api/yf/regMedicDecoct/regDrugDelivery
住院电子发票综合操作-电子发票凭证信息	dataq/api/page/getZYWBFPXXByJZDH00
住院电子发票综合操作-住院病人结算发票信息	dataq/api/page/getZYJSFPXXByZYID00
电子票据换开纸质票据	api/ZYBSDZFPJKManager/turnPaper_ZY
住院收费_电子票据取票凭条(取票凭条打印)	print/api/query/printZYSFdzpjqppt
开具电子发票	api/ZYBSDZFPJKManager/invoiceEBill_ZY
电子票据冲红	api/ZYBSDZFPJKManager/writeOffEBill_ZY
下拉框字典-药房代煎标签药品名称（“标签”弹出框）	dataq/api/xdict
住院收费_纸质发票打印	print/api/query/printZYSFDZFPzzfpdy
获取有效纸质票据号段	api/ZYBSDZFPJKManager/getValidBillNo_XT
重新换开纸质票据	api/ZYBSDZFPJKManager/returnPaper_ZY
作废换开的纸质票据	api/ZYBSDZFPJKManager/invalidPaper_ZY
保存	api/yf/regMedicDecoct/save
获取员工系统权限	api/permissions
医保对应的同步对应	api/yk/CatalogMaintenanceService/setSynchronousCorrespondence
医保对应同步保存	api/yk/CatalogMaintenanceService/updateSaveSynchronously
送药标签(只对代签单查询有用)	api/yf/regMedicDecoct/getSYBQ
煎药表	api/yf/regMedicDecoct/getJYB
送药表	api/yf/regMedicDecoct/getSYB
标签按钮（弹出层，点“确认”）	api/yf/regMedicDecoct/getBQ
“代煎送药单” 打印	print/api/query/printZYDJSYD
过滤功能内容显示不全表头测试数据	dataq/api/header/filterContetTest
过滤功能内容显示不全表内容测试数据	dataq/api/page/filterContetTest
门诊电子发票综合操作-病人门诊结算信息	dataq/api/page/getMZJSFPXXByBRID
门诊电子发票综合操作-电子发票凭证信息	dataq/api/page/getMZWBPJXXByJZDH00
停用（启用）	api/yk/CatalogMaintenanceService/stopUse
药品信息保存	api/yk/CatalogMaintenanceService/preservationDrugInformation
获取药品树数据	api/yf/drugsTree/listDrugsTree
药品-类别（下拉框字典）	dataq/api/xdict?zdbm=10102
获取药品编码	api/yk/CatalogMaintenanceService/getYPBMFromYPJX
查询药品列表	dataq/api/page/listYplbForYFKCCX
获取查询药品列表前置条件（点击具体树节点触发）	api/yf/drugstockquery/getTreeViewClick
查询预扣库存信息	dataq/api/page/listYkkcxxForYFKCCX
“有效期修改”按钮-查询药品有效期历史修改记录	dataq/api/page/listYPYXQLSXGJL
“有效期修改”按钮-有效期修改	api/yf/drugstockquery/modifyValidDate
库存干预	api/yf/drugstockquery/interStock
删除本单预扣	api/yf/drugstockquery/delOrderWithhold
打印-物资批次库存	dataq/export/listYplbForYFKCCX
药品树结构-药品搜索	dataq/api/page/getDrugTreeSearch
查询隶属药品	api/yf/lsypwh/queryMedicInfo
全院药品信息	dataq/api/page/getHospwideDrugInfo
获取药品树列表明细	api/yf/drugsTree/getDrugsTreeMx
判断请领单是否存在	dataq/api/page/queryYFYPQLSQExist
请领单药品明细列表	dataq/api/page/queryYFYPQLSQYPXX
“有效期修改”按钮-加载有效期修改信息（药品入库明细信息）	api/yf/drugstockquery/getYprkmxForYxqxg
修改药品最大寄存数量	api/yf/medicineDistribution/updateMaxDrugDeposits
药理通用字典	dataq/api/page/YPBMWHYLDict
剂型通用字典	dataq/api/page/YPBMWHJXDict
药房麻醉药品管理获取病人树	api/yfNarcoticDrugs/getBRYPGLTree
药房-特殊药品-麻醉药品管理-药品明细	dataq/api/page/yfNarcoticDrugsMx
输入法-麻醉药品管理申请科室	dataq/api/page/getNarcoticDrugsApplyDeptDictList
输入法-麻醉药品管理申请医生	dataq/api/page/getNarcoticDrugsApplyUserDictList
输入法-麻醉药品管理-药品	dataq/api/page/getNarcoticDrugsDrugDictList
药房麻醉药品管理-保存病人麻醉药品	api/yfNarcoticDrugs/saveBRMZYP
药房麻醉药品管理-审核病人麻醉药品	api/yfNarcoticDrugs/auditBRMZYP
删除/注销病人麻醉药品	api/yfNarcoticDrugs/cancellationBRMZYP
审批病人麻醉药品	api/yfNarcoticDrugs/approvalBRMZYP
是否存在有效的麻醉卡号	api/yfNarcoticDrugs/isExistValidMZKH
输入法频次字典	dataq/api/page/getSRFpcZD
药品输入法字典	dataq/api/page/YFYPQLSQYPListDict
药房药品请领申请保存或修改	api/yf/drugApplication/yfBorrowDrugSaveOrUpdate
删除药房药品申领单	api/yf/drugApplication/yfBorrowDrugDelete
药库药品请领申请领药申请单	dataq/api/page/listYKYPQLSQD
添加所有配置台信息	api/yf/preparationTableDistribution/addAllMixingTableInformation
删除所有配置台信息	api/yf/preparationTableDistribution/deleteAllMixingTableInformation
药品字典（定位）	dataq/api/page/listYpDictForKCLXEWH
查询药品明细列表	dataq/api/page/listYpMxForKCLXEWH
获取申领单号	api/yf/drugApplication/getCKDH00
保存限额（修改）	api/yf/drugsStockLimit/saveLimitChange
获取住院摆药条件	dataq/api/page/getHospDrugDeliveryConditions
获取住院摆药条件属性	dataq/api/page/getHospDrugDeliveryConditionProp
打印	print/api/query/printYfYpkcxexx
获取住院摆药条件明细	dataq/api/page/getDrugDeliveryConditionDetail
操作住院摆药条件	api/yf/drugConditions/operateCondition
删除住院摆药条件	api/yf/drugConditions/deleteCondition
查询申请单明细	dataq/api/page/listYKYPQLSQDMX
领药药库字典	dataq/api/page/YKYPQLSQYKListDict
药库药品输入法字典	dataq/api/page/YKYPQLSQYPListDict
药库药品请领申请增加或修改单据	api/yf/drugApplication/ykBorrowDrugSaveOrUpdate
药库药品请领申请删除单据	api/yf/drugApplication/ykBorrowDrugDelete
分类下拉框字典	api/yf/drugstockwarn/listDrugsTypeDict
预警（查询库存预警药品列表）	dataq/api/page/listYfKcYJYPLBForKCYJ
药房下拉列表	dataq/api/xdict?zdbm=10107
转成请领单	api/yf/drugstockwarn/transToQLD
查询时间段内不同状态下盘点单树	api/yf/drugsTree/getPddState
查询药品盘点单	dataq/api/page/listYppddForYPPD
查询药品盘点单（已确认类型）	dataq/api/page/listYppddForYPPD2
查询药品盘点信息明细	dataq/api/page/listYppdxxmxForYPPD
保存	api/yf/yppd/save
打印药品别名	print/api/query/printXTYPBMWHPbmdy
查询盘点单生成列表【新开】	dataq/api/page/listPddscForYPPD
生成期初建账 / 生成盘点单【新开】	api/yf/yppd/scqcjz
删除、作废、退回、恢复	api/yf/yppd/operByType
增加药品	api/yf/yppd/addDrug
删除药品	api/yf/yppd/delDrug
药品定位	api/yf/yppd/ypdw
发送	api/yf/yppd/send
请求确认 / 确认	api/yf/yppd/configByType
盘点打印	api/yf/yppd/pddy
打印	api/yf/yppd/print
导出	api/yf/yppd/exportExcel
药房药品请领申请打印	print/api/query/printYFYPQLDdy
取消盘点状态	api/yf/qxpdzt/deal
获取科室及其勾选信息	dataq/api/page/listDepartmentAndCheckedInfo
查询过期或快过期药品清单列表	dataq/api/page/listYpgqOrKgqForYPPD
获取药品名称字典	ai/yf/dict/getYpzdList
药品类别字典	dataq/api/xdict?zdbm=10103
获取过期日期-截止日期	api/yf/xqgl/getInvalidateDate
打印	api/yf/xqgl/print
导出	api/yf/xqgl/export
科室输入法字典	dataq/api/page/listDepartmentSerch
药房药品请领申请切换单位	api/yf/drugApplication/getZHLandLSJ
病区退药开单科室结构树	api/yf/ReturnDrugBill/returnBillTree
获取住院摆药条件	dataq/api/page/queryZYBYTJDist
用户开单信息	dataq/api/page/queryYHXXCX
查看用户就诊卡信息	dataq/api/page/queryYHJZKXX
加载菜单更新通用字典	api/yf/prescriptionCheckBeforehand/serchTyzdOrAdd
确认按钮	api/yf/prescriptionCheckBeforehand/getCheckStatusAndSave
获取申请单号	api/yf/drugApplication/getYPQLDH
退药开单保存	api/yf/ReturnDrugBill/saveDrugBill
审方窗口	dataq/api/page/listAuditorWicket
病区退药开单查询下的科室结构树	api/yf/ReturnDrugBill/returnSearchBillTree
审方窗口状态	dataq/api/page/getAuditorWicketStatus
aaass	aaass
查询下的用户已退医嘱信息	dataq/api/page/queryYHYTYZXX
所选中出库明细“计价实发”发生变化，触发	api/yk/drugsOutWareConfirm/queryCKMXPCLYSLSetText
所选中出库明细“计量实发”发生变化，触发	api/yk/drugsOutWareConfirm/queryCKMXJLQLSLSetText
重制用户已退医嘱	api/yf/ReturnDrugBill/remakeDrugBill
交互服务当天数	api/jhScene
交互服务按月统计	api/jhSceneByM
交互服务按年统计	api/jhSceneByY
患者主索引数	api/jhIndex
患者主索引数按月查	api/jhIndexByM
确认窗口是否被其他电脑使用	api/yf/beforehandWindow/confirmWicket
打印用户已退医嘱明细（打印类型1）	print/api/query/printCZYHYTYZdy
事前审方窗口的刷新	dataq/api/page/listAuditorInfo
下拉框选择科室后的科室结构树	api/yf/ReturnDrugBill/returnChooseBillTree
病区退药开单下的选择科室字典	dataq/api/xdict?zdbm=10110
病区退药查询下的查询科室结构树	dataq/api/page/queryYPTYKDCXLCS
查看科室结构树下的用户信息	dataq/api/page/queryTYCXCKYHXX
审方操作的刷新	dataq/api/page/listAuditorOperationInfo
退回原因模板	dataq/api/page/listReasonTemplate
审核通过	api/yf/preCheckBeforehandWicket/clickApproved
事前审方窗口的处方退回	api/yf/preCheckBeforehandWicket/isCHUpdated
按病区查询科室结构树	api/yf/ReturnDrugBill/returnExcuteBillTree
按科室查询科室结构树	api/yf/ReturnDrugBill/returnExcuteRoomBillTree
查询用户退药信息	dataq/api/page/queryBQTYZZYHXX
病区退药执行确认	api/yf/ReturnDrugBill/returnExcuteBill
审方窗口下拉框	dataq/api/page/listAuditorWicket
人工审方状态	api/yf/preCheckBeforehandWicket/getISAUTO
点击人工审方复选框或者停止接单	api/yf/preCheckBeforehandWicket/clickIsAutoOrClickStop
保存原因	api/yf/preCheckBeforehandWicket/saveReason
审方操作-退回处方	api/yf/preCheckBeforehandWicket/prescriptionReturn
查询打印单子数量（打印类型1）	dataq/api/page/queryBQTYKDCXSL
打印用户已退医嘱明细（打印类型2）	print/api/query/printBQTYKDdy2
打印用户已退医嘱明细（打印类型3）	print/api/query/printBQTYKDdy3
事前审方窗口_中药（右边打印主信息）	dataq/api/page/listAuditorPrintInfo
事前审方窗口_中药（右边打印明细信息）	dataq/api/page/listDrugsPrintInfo
事前审方窗口的刷新	dataq/api/page/listAuditorInfo
审核通过	api/yf/preCheckBeforehandWicket/clickApproved
审方窗口下拉框	dataq/api/page/listAuditorWicket
人工审方状态	api/yf/preCheckBeforehandWicket/getISAUTO
根据摆药条件查询打印模板	dataq/api/page/queryGJBYTJCXDY
点击人工审方复选框或者停止接单	api/yf/preCheckBeforehandWicket/clickIsAutoOrClickStop
审方操作的刷新	dataq/api/page/listAuditorOperationInfo
退回原因模板	dataq/api/page/listReasonTemplate
保存原因	api/yf/preCheckBeforehandWicket/saveReason
审方操作-退回处方	api/yf/preCheckBeforehandWicket/prescriptionReturn
修改厂家批准文号	yk/blfp/modifyCJPZWH
审方记录查询-主表	dataq/api/page/listAuditorRecord
病区退药执行打印模板2	print/api/query/printBQTYZXdy2
病区退药执行打印模板3	print/api/query/printBQTYZXdy3
审方记录查询-明细	dataq/api/page/liseAuditorLogDetails
审方记录查询输入法-药品选择	dataq/api/page/listAuditDrugs
获取药品入库明细信息（“修改厂家批准文号”弹框之前调用）	api/yk/blfp/getYkYPRKMXInfo
医保项目编号输入法字典	dataq/api/page/getYBXMBHListDict
获取药品明细信息(在药品名称字典退出时候)	api/yk/rkdsr/getYpxxByYpmcDictExit
查询病人门诊流水记录	api/yf/query/queryOutpatientRecords
加载页面时获取页面展示样式参数	api/yf/query/getFormShowParam
查询流水记录详细药品信息	dataq/api/page/queryRecordsDrugDetailed
门诊流水转入库	api/yf/query/transferToWarehouse
保存处方点评	api/yf/qruey/savePrescriptionReviews
获取不合格原因	dataq/api/page/getDisqualificationReason
获取点评记录	dataq/api/page/getReviewRecords
病区退药开单下的根据卡号查询病人id	dataq/api/page/queryQBTYKDGJKHCXBR
打印门诊处方单	api/yf/qurey/prescription/printPrescription
审方	api/yf/query/prescription/review
打印药签	api/yf/qurey/prescription/printDrugSwab
全成分发送	api/yf/qurey/prescription/sendAllIngredients
打印门诊配药处方二维码	api/yf/qurey/prescription/printPrescriptionQRCode
生成评价表	api/yf/qurey/prescription/generateEvaluationForm
获取点评科室列表	dataq/api/page/getReviewsDept
其他接口参考门诊处方查询api	api/
未发药处方查询	dataq/api/page/queryUnissuedPrescription
处方明细查询	dataq/api/page/queryPrescriptionDetails 
发药（省人民无此功能）	api/yf/qurey/prescription/dispensingDrug
打印（省人民无此功能）	api/yf/qurey/prescription/print
门诊毒麻处方查询	dataq/api/page/queryMzToxicPrescription
毒麻处方药品明细	dataq/api/page/queryToxicPrescriptionDetail
打印毒麻处方	api/yf/qurey/prescription/printToxicPrescription
打印标签	print/api/query/printFYBQ2
明细信息修改	api/yf/qurey/mzToxic/save
毒麻处方记录查询	dataq/api/page/queryZyToxicPrescription
处方修改	api/yf/qurey/zyToxic/save
费别	dataq/api/page/getPaitentPayTypeList
病区退药执行下的查询代配退药打印张数	dataq/api/page/queryBQTYZXDPTYDYZS
